country,full_name,club,position,matches,goals
Португалия,Mark Morgan,Порту,защитник,72,2
Испания,Jessica Brady,Реал Мадрид,защитник,147,5
Нидерланды,Paul Whitney,Аякс,полузащитник,33,29
Франция,Jose Castro,Лион,нападающий,48,10
Испания,Donna Moore,Реал Мадрид,защитник,22,9
Бразилия,Katie Herrera,Палмейрас,нападающий,65,24
Германия,Rebecca Gill,РБ Лейпциг,полузащитник,111,28
Россия,Katherine Fields,Спартак,нападающий,118,45
Франция,Derrick Ferrell,Олимпик Марсель,нападающий,85,40
Россия,Adam Fleming,Спартак,нападающий,115,29
Англия,Yolanda Cole,Ливерпуль,защитник,69,10
Италия,Kayla Haynes,Ювентус,нападающий,108,10
Нидерланды,Troy Garcia,ПСВ,защитник,149,5
Англия,Randall Anderson,Манчестер Юнайтед,вратарь,78,-32
Бразилия,Sarah Young,Фламенго,полузащитник,101,19
Нидерланды,Theresa Zamora,Аякс,полузащитник,92,16
Аргентина,Sarah Johnson,Бока Хуниорс,полузащитник,38,17
Аргентина,Kenneth Garcia,Ривер Плейт,защитник,96,1
Аргентина,Gerald Small,Бока Хуниорс,защитник,66,12
Португалия,Jacqueline Townsend,Порту,нападающий,6,41
Нидерланды,Kimberly Grant,Фейеноорд,нападающий,100,50
Бразилия,Rachel Perez,Коринтианс,вратарь,28,-43
Германия,Amber Mayer,Боруссия Дортмунд,нападающий,118,24
Аргентина,John Wilkinson,Бока Хуниорс,нападающий,13,10
Аргентина,Rachael Clark,Бока Хуниорс,полузащитник,53,23
Нидерланды,Glenn Hughes,ПСВ,полузащитник,33,28
Италия,James Glass,Милан,защитник,34,20
Англия,Desiree Fernandez,Челси,вратарь,68,-6
Англия,Krystal Campbell,Ливерпуль,нападающий,127,35
Испания,Michael Mcpherson,Реал Мадрид,вратарь,116,-21
Аргентина,Dawn French,Бока Хуниорс,полузащитник,81,27
Аргентина,Mary Alexander,Ривер Плейт,нападающий,131,19
Англия,John Smith,Челси,нападающий,41,10
Аргентина,Emily Parrish,Бока Хуниорс,нападающий,138,32
Франция,Donald Hernandez,Лион,полузащитник,26,29
Бразилия,Michael Villegas,Сантос,защитник,59,9
Нидерланды,Dawn Holloway,ПСВ,защитник,43,18
Германия,Nichole Carr,Бавария,нападающий,21,38
Англия,Natalie Medina,Манчестер Юнайтед,защитник,108,2
Испания,Samantha Martinez,Атлетико Мадрид,полузащитник,65,20
Испания,Jennifer Bailey,Барселона,нападающий,79,30
Германия,Carla Hammond,Боруссия Дортмунд,полузащитник,104,6
Италия,Trevor Miles,Интер,защитник,66,3
Нидерланды,Michelle Hendricks,ПСВ,полузащитник,132,15
Италия,Morgan Moyer,Интер,нападающий,22,42
Аргентина,Victoria Carter,Бока Хуниорс,вратарь,122,-14
Россия,Emily Mclean,ЦСКА,нападающий,50,11
Бразилия,Katrina Newman,Коринтианс,защитник,94,9
Бразилия,Richard Reed,Коринтианс,полузащитник,79,27
Италия,Jeff Hernandez,Ювентус,полузащитник,12,6
Англия,Lisa Schultz,Ливерпуль,вратарь,34,-5
Бразилия,Jared Wagner,Коринтианс,вратарь,144,-12
Бразилия,David Scott,Фламенго,защитник,131,0
Бразилия,Robert Williams,Палмейрас,нападающий,22,13
Бразилия,Paul Meadows MD,Фламенго,защитник,94,19
Россия,Lauren Burns,Краснодар,нападающий,1,47
Германия,Brianna Hebert,Боруссия Дортмунд,вратарь,29,-18
Россия,George Gordon,ЦСКА,полузащитник,118,27
Португалия,Mark Baker,Спортинг,полузащитник,41,10
Италия,Carly Mann,Милан,полузащитник,9,5
Португалия,Laura Stein,Спортинг,полузащитник,48,22
Германия,Timothy Bishop,РБ Лейпциг,нападающий,105,22
Италия,Summer Hansen,Ювентус,защитник,87,16
Италия,Antonio Merritt,Милан,полузащитник,149,10
Испания,Krista Jennings,Атлетико Мадрид,нападающий,112,50
Аргентина,Diana Snyder,Бока Хуниорс,полузащитник,61,17
Италия,Paul Clark,Милан,защитник,97,10
Аргентина,Brandon Norris,Ривер Плейт,полузащитник,65,5
Испания,Christy George,Реал Мадрид,защитник,99,0
Аргентина,Catherine Barnett,Бока Хуниорс,защитник,58,15
Италия,Mary Vargas,Милан,нападающий,130,13
Португалия,Joseph Krause,Спортинг,полузащитник,98,30
Нидерланды,Stephen Schneider,Фейеноорд,защитник,76,19
Италия,Max Roberts,Интер,вратарь,5,-34
Германия,James Summers,Бавария,нападающий,19,31
Португалия,Kelly Mitchell,Бенфика,защитник,62,12
Германия,Ryan Barker,РБ Лейпциг,защитник,131,6
Португалия,Bobby Fowler,Порту,защитник,82,17
Нидерланды,Heather James,ПСВ,полузащитник,142,30
Испания,Scott Moore,Атлетико Мадрид,защитник,17,19
Бразилия,Richard Bailey,Палмейрас,защитник,27,19
Германия,Leah Gomez,Боруссия Дортмунд,вратарь,116,-30
Бразилия,Kara Moreno,Фламенго,защитник,81,10
Англия,Laurie Williams,Ливерпуль,нападающий,93,29
Португалия,Jeffrey Perez,Порту,защитник,31,16
Германия,Alan Ramirez,РБ Лейпциг,нападающий,72,34
Франция,Angela Gray,ПСЖ,нападающий,56,16
Аргентина,Juan Mcdonald,Бока Хуниорс,нападающий,91,12
Испания,Bryan Watkins,Барселона,защитник,116,10
Бразилия,Todd Dominguez,Коринтианс,полузащитник,5,19
Португалия,Lisa Ball,Бенфика,нападающий,111,28
Германия,Johnathan Wilson,РБ Лейпциг,полузащитник,85,10
Италия,Alvin Thomas,Милан,нападающий,108,36
Франция,Amanda Gibson,Олимпик Марсель,защитник,14,10
Германия,Beth Ramos,Бавария,полузащитник,33,14
Англия,Michael Meyer,Манчестер Юнайтед,нападающий,62,23
Бразилия,Stephen Alexander,Коринтианс,вратарь,26,0
Испания,Nancy Andrews,Барселона,полузащитник,79,24
Португалия,Samantha Huff,Спортинг,нападающий,7,36
Англия,Tonya Meyer,Манчестер Юнайтед,нападающий,12,16
Бразилия,Mary Barnes,Фламенго,защитник,121,5
Испания,Debra Brown,Барселона,полузащитник,98,8
Испания,Mary Bates,Барселона,полузащитник,71,9
Италия,Lindsey Wolf,Интер,вратарь,64,-14
Франция,Phillip Johnson,Олимпик Марсель,вратарь,115,-22
Франция,Kenneth Matthews,Лион,вратарь,43,-11
Аргентина,Wayne Koch,Ривер Плейт,нападающий,47,25
Бразилия,Amanda Henry,Палмейрас,защитник,33,13
Аргентина,Margaret Barry,Бока Хуниорс,защитник,30,7
Германия,Candace White,РБ Лейпциг,полузащитник,52,20
Испания,Beverly Tucker,Реал Мадрид,нападающий,84,46
Бразилия,Cynthia Brown,Палмейрас,нападающий,87,41
Италия,Stephen Reed,Милан,вратарь,108,-4
Россия,Jennifer Harris,ЦСКА,полузащитник,27,19
Бразилия,Christine Terry,Сантос,полузащитник,66,12
Италия,Brenda Ward,Интер,нападающий,55,27
Бразилия,Mason Hendricks,Палмейрас,полузащитник,84,29
Англия,Richard Simpson,Манчестер Юнайтед,нападающий,101,46
Германия,Nathan Cameron,Боруссия Дортмунд,вратарь,65,-21
Англия,Tracy Payne,Манчестер Юнайтед,полузащитник,122,5
Англия,Christopher Walker,Ливерпуль,защитник,48,3
Аргентина,Pamela Luna,Бока Хуниорс,полузащитник,143,7
Италия,Laura Johnson,Милан,нападающий,14,16
Нидерланды,Brenda Sullivan,Аякс,вратарь,100,-33
Испания,Edwin Thompson,Реал Мадрид,полузащитник,26,17
Португалия,Laura Powell,Порту,вратарь,16,-1
Португалия,Dean Gibson,Порту,защитник,103,5
Португалия,Charles Clarke,Порту,защитник,117,7
Португалия,Bianca Shelton,Бенфика,защитник,48,19
Испания,Dylan Cook,Реал Мадрид,нападающий,111,43
Англия,Maria Hines,Ливерпуль,нападающий,74,20
Россия,William Cooper,Спартак,защитник,58,13
Франция,Christopher Donaldson,Лион,нападающий,139,44
Франция,Rachel Bass,Олимпик Марсель,полузащитник,70,12
Португалия,Thomas Rasmussen,Порту,нападающий,78,14
Португалия,Angela Jones,Бенфика,полузащитник,53,26
Аргентина,Ryan Raymond,Ривер Плейт,нападающий,41,22
Германия,April Johnson,РБ Лейпциг,полузащитник,34,20
Испания,Felicia Bautista,Барселона,защитник,49,9
Испания,Donald Curry,Реал Мадрид,вратарь,137,-21
Россия,Katrina Gentry,Спартак,полузащитник,32,23
Испания,John Guzman,Атлетико Мадрид,нападающий,116,32
Нидерланды,Regina Rivera,Аякс,защитник,26,2
Германия,Julie Sparks,Бавария,нападающий,22,16
Нидерланды,Russell Clay,Фейеноорд,нападающий,13,48
Англия,Michael Gomez,Челси,нападающий,84,49
Германия,Gerald Hull,Бавария,полузащитник,69,17
Германия,Patrick Rodriguez,РБ Лейпциг,защитник,44,19
Нидерланды,Mary Smith,Аякс,вратарь,5,-33
Бразилия,William Coleman,Сантос,нападающий,11,10
Италия,Paul Mendez,Интер,защитник,139,18
Италия,Laura Stevenson,Интер,защитник,143,2
Бразилия,Audrey Smith,Коринтианс,полузащитник,70,16
Англия,James Smith,Манчестер Юнайтед,нападающий,2,18
Испания,Megan Martinez,Атлетико Мадрид,нападающий,130,50
Италия,Jordan Castillo,Интер,полузащитник,9,12
Германия,Danielle Stevens,Боруссия Дортмунд,защитник,123,10
Нидерланды,Jason Cole,Фейеноорд,нападающий,107,26
Аргентина,Deanna Adams,Бока Хуниорс,полузащитник,47,16
Нидерланды,John Brown,Аякс,нападающий,128,38
Испания,Justin Compton,Барселона,вратарь,19,-27
Италия,Shannon Pierce,Ювентус,полузащитник,75,17
Бразилия,John Strickland,Коринтианс,нападающий,35,36
Нидерланды,Erin Stanley,ПСВ,нападающий,19,14
Португалия,Joe White,Порту,нападающий,14,14
Италия,Jeremy Wallace,Ювентус,полузащитник,114,21
Португалия,Kimberly Wilson,Спортинг,нападающий,142,14
Англия,Diana Wood MD,Челси,полузащитник,58,30
Бразилия,Susan Hernandez,Коринтианс,полузащитник,87,17
Испания,Amber Sanchez,Реал Мадрид,вратарь,29,-42
Франция,Randall Logan,Лион,защитник,69,18
Испания,Donna Luna,Барселона,нападающий,139,35
Германия,Christopher Stone,Боруссия Дортмунд,защитник,40,14
Россия,Bianca Moore,Локомотив,полузащитник,101,5
Россия,Ashley Harrison,ЦСКА,вратарь,99,-11
Испания,Joshua Hancock,Атлетико Мадрид,нападающий,11,28
Португалия,Jennifer Chen,Спортинг,полузащитник,132,25
Бразилия,Alexis Bryan,Палмейрас,нападающий,107,20
Нидерланды,Patricia Pitts,Фейеноорд,полузащитник,62,19
Аргентина,Bernard Walker,Ривер Плейт,защитник,43,11
Португалия,Megan Giles,Порту,нападающий,89,49
Германия,Samantha Thompson,Боруссия Дортмунд,вратарь,146,-22
Испания,William Price,Реал Мадрид,защитник,88,19
Нидерланды,Spencer Lloyd,ПСВ,защитник,104,5
Бразилия,Shaun Miller,Палмейрас,защитник,114,17
Аргентина,Angela Bautista,Ривер Плейт,нападающий,142,36
Германия,Nicholas Barrera,Боруссия Дортмунд,полузащитник,16,26
Франция,Robin Joseph,Лион,защитник,13,16
Англия,Sarah Jones,Челси,нападающий,70,47
Нидерланды,Rebekah Jacobson,ПСВ,защитник,31,2
Франция,Cameron Martin,ПСЖ,защитник,26,5
Нидерланды,Daniel Marshall,ПСВ,полузащитник,16,30
Нидерланды,Linda Rowland,ПСВ,полузащитник,27,18
Испания,Dalton Reed,Барселона,защитник,35,1
Россия,Daniel Gonzalez,Краснодар,вратарь,111,-43
Испания,Teresa Gates,Реал Мадрид,защитник,78,11
Португалия,Vanessa Johnson,Бенфика,полузащитник,128,29
Португалия,Cheryl Rogers,Бенфика,защитник,19,8
Италия,Heather Irwin,Интер,полузащитник,32,7
Португалия,David Goodwin,Спортинг,защитник,138,13
