country,full_name,club,position,matches,goals
Германия,William Carter,РБ Лейпциг,защитник,110,7
Германия,Richard James,Бавария,нападающий,40,39
Италия,Edward Ramos,Милан,полузащитник,107,13
Испания,Bianca Banks,Атлетико Мадрид,нападающий,67,19
Испания,Steven Caldwell,Реал Мадрид,полузащитник,88,25
Испания,Steven Joyce,Атлетико Мадрид,полузащитник,31,23
Италия,Mrs. Diana Ellis,Милан,защитник,117,6
Нидерланды,Ian Torres,Аякс,нападающий,100,27
Нидерланды,Christine Greene,Аякс,защитник,86,11
Нидерланды,Alyssa Martin,Фейеноорд,защитник,149,10
Нидерланды,Lynn Martinez,ПСВ,полузащитник,64,28
Аргентина,Barbara Larson,Ривер Плейт,нападающий,40,47
Испания,Dr. Diane Mitchell,Реал Мадрид,нападающий,134,38
Бразилия,Lauren Davis,Коринтианс,полузащитник,77,21
Франция,Robert Barnes,Олимпик Марсель,вратарь,119,-27
Аргентина,Mr. Nicholas Gonzales,Ривер Плейт,защитник,123,6
Нидерланды,Todd Love,Аякс,полузащитник,143,29
Германия,Sarah Nelson,Бавария,защитник,32,7
Испания,Michael Stewart,Атлетико Мадрид,защитник,132,5
Италия,Sarah Mccoy,Ювентус,полузащитник,53,29
Нидерланды,Maria Smith,Аякс,полузащитник,124,13
Италия,Joseph Grant,Интер,защитник,80,14
Россия,Jason Williams,Зенит,полузащитник,127,5
Испания,Mrs. Nicole Perez DVM,Барселона,полузащитник,149,28
Испания,Renee Reyes,Атлетико Мадрид,нападающий,70,11
Бразилия,Laura Miller,Сантос,полузащитник,14,10
Германия,Jennifer Flowers,РБ Лейпциг,защитник,94,7
Италия,Howard Hess,Милан,защитник,114,14
Франция,Michelle Compton,Олимпик Марсель,защитник,51,9
Испания,Angela Duran,Реал Мадрид,нападающий,34,46
Аргентина,Victor Dunn,Ривер Плейт,нападающий,114,38
Португалия,Jose Gallagher,Порту,нападающий,11,33
Бразилия,Mary Kemp,Коринтианс,защитник,111,14
Россия,Mr. William Garcia DVM,Краснодар,полузащитник,26,26
Россия,Tina Anderson,Краснодар,нападающий,138,17
Бразилия,Brian Kirk,Палмейрас,полузащитник,64,10
Испания,Susan Fowler,Атлетико Мадрид,защитник,129,17
Россия,Alexis Vazquez,Локомотив,полузащитник,52,25
Португалия,Katelyn Wilson,Бенфика,нападающий,19,40
Бразилия,Angela Harvey,Палмейрас,защитник,84,5
Нидерланды,James Beck,Аякс,полузащитник,33,21
Англия,Cameron Mckenzie Jr.,Манчестер Юнайтед,защитник,57,8
Бразилия,Jeremy Orozco,Коринтианс,защитник,28,3
Франция,Tammy Ross,Олимпик Марсель,защитник,108,10
Нидерланды,Eduardo Conley,ПСВ,нападающий,104,45
Аргентина,Jessica Schaefer,Ривер Плейт,нападающий,56,47
Бразилия,Mary Stanton,Палмейрас,нападающий,143,23
Англия,Angela Ellison,Манчестер Юнайтед,полузащитник,107,13
Англия,Stephen Jacobson,Манчестер Юнайтед,полузащитник,23,11
Нидерланды,Michael Salazar,Фейеноорд,полузащитник,67,23
Германия,Erik Alexander,Бавария,вратарь,34,-48
Португалия,Richard Cook,Спортинг,полузащитник,69,23
Россия,Jordan Taylor,Краснодар,нападающий,92,47
Нидерланды,Tracie Smith,ПСВ,защитник,2,10
Англия,Judith Ellis,Манчестер Юнайтед,защитник,122,18
Италия,Stephanie Mann,Интер,защитник,144,3
Аргентина,Tiffany Hill,Ривер Плейт,вратарь,35,-7
Испания,Connie Bruce,Барселона,полузащитник,83,19
Бразилия,Darin Stewart,Сантос,нападающий,22,43
Англия,Christopher Dickerson,Манчестер Юнайтед,вратарь,95,-19
Франция,Jason Diaz,Лион,полузащитник,50,15
Германия,Brian Le,Бавария,защитник,76,17
Англия,Melissa Rios,Ливерпуль,нападающий,96,47
Аргентина,Lance Martin,Ривер Плейт,вратарь,79,-7
Франция,Mary Lane,Олимпик Марсель,защитник,6,17
Аргентина,Jeffrey Fletcher,Ривер Плейт,защитник,42,8
Нидерланды,Stephanie Holt,Фейеноорд,защитник,72,2
Англия,Aaron Hanna,Ливерпуль,нападающий,116,48
Бразилия,Christopher Palmer,Палмейрас,защитник,51,2
Франция,Michael Waters,ПСЖ,вратарь,149,-49
Португалия,Ryan Delacruz,Порту,полузащитник,135,17
Португалия,Tim Garcia,Бенфика,полузащитник,35,22
Россия,Christopher Pope,Краснодар,защитник,57,9
Франция,Donna Morris,Олимпик Марсель,защитник,149,9
Бразилия,James Esparza,Сантос,защитник,59,16
Россия,Ian Barnes,Краснодар,защитник,57,2
Аргентина,Shannon Parker,Ривер Плейт,полузащитник,64,15
Испания,Nicole Robertson,Барселона,защитник,30,3
Россия,April Hernandez,Зенит,вратарь,120,-22
Аргентина,Nicholas Buchanan,Бока Хуниорс,защитник,90,13
Бразилия,Michael Hickman,Сантос,защитник,37,15
Бразилия,Daniel Romero,Сантос,нападающий,140,35
Германия,Ryan Martin,Боруссия Дортмунд,защитник,134,17
Испания,Melissa Peterson DVM,Барселона,полузащитник,37,26
Германия,Michelle Duffy,РБ Лейпциг,вратарь,77,-39
Франция,Stephanie Rasmussen,ПСЖ,защитник,65,18
Португалия,Ronald Salazar,Бенфика,защитник,109,17
Португалия,Charles Long,Бенфика,защитник,81,10
Германия,Elizabeth Green,Бавария,полузащитник,115,6
Германия,Elizabeth Ryan,РБ Лейпциг,защитник,104,19
Нидерланды,Lisa Jones,Аякс,защитник,68,19
Франция,Lindsey Scott,ПСЖ,нападающий,103,39
Англия,Larry Smith,Челси,полузащитник,122,6
Испания,Valerie Medina,Барселона,защитник,84,6
Аргентина,Peter Tanner,Ривер Плейт,нападающий,86,22
Италия,Erika Hart,Милан,защитник,3,18
Бразилия,Jennifer Chang,Фламенго,полузащитник,35,16
Нидерланды,Mercedes Cochran,Фейеноорд,полузащитник,142,24
Нидерланды,Michael Green,Фейеноорд,вратарь,49,-8
Аргентина,Kenneth Hebert,Ривер Плейт,полузащитник,116,26
Франция,Elizabeth Hicks,Олимпик Марсель,защитник,40,13
Англия,Emily Kelly,Челси,полузащитник,141,23
Нидерланды,Ruth Martinez,ПСВ,полузащитник,121,22
Италия,Michael Rice,Интер,защитник,53,11
Англия,James Maddox,Ливерпуль,нападающий,126,34
Бразилия,Jamie Peters,Коринтианс,полузащитник,61,19
Португалия,Erin Turner,Бенфика,защитник,34,0
Италия,Stephanie Diaz,Милан,полузащитник,54,25
Аргентина,Bobby Patterson,Бока Хуниорс,полузащитник,121,8
Франция,Wyatt Brooks,ПСЖ,полузащитник,137,5
Франция,Amanda Beck,ПСЖ,полузащитник,18,7
